waveform	[0]	[1]
t0	12/31/1903  19:00:00.000000	12/31/1903  19:00:00.000000
delta t	0.001000	0.001000

time	Y[0]	Y[1]
12/31/1903  19:00:00.325000	-2.883785E+0	8.269121E-1
12/31/1903  19:00:00.326000	-2.838595E+0	9.707615E-1
12/31/1903  19:00:00.327000	-2.786235E+0	1.112159E+0
12/31/1903  19:00:00.328000	-2.726836E+0	1.250746E+0
12/31/1903  19:00:00.329000	-2.660549E+0	1.386175E+0
12/31/1903  19:00:00.330000	-2.587541E+0	1.518101E+0
12/31/1903  19:00:00.331000	-2.507997E+0	1.646193E+0
12/31/1903  19:00:00.332000	-2.422117E+0	1.770126E+0
12/31/1903  19:00:00.333000	-2.330119E+0	1.889588E+0
12/31/1903  19:00:00.334000	-2.232235E+0	2.004277E+0
12/31/1903  19:00:00.335000	-2.128712E+0	2.113903E+0
12/31/1903  19:00:00.336000	-2.019812E+0	2.218188E+0
12/31/1903  19:00:00.337000	-1.905809E+0	2.316871E+0
12/31/1903  19:00:00.338000	-1.786993E+0	2.409701E+0
12/31/1903  19:00:00.339000	-1.663662E+0	2.496443E+0
12/31/1903  19:00:00.340000	-1.536129E+0	2.576880E+0
12/31/1903  19:00:00.341000	-1.404715E+0	2.650807E+0
12/31/1903  19:00:00.342000	-1.269753E+0	2.718038E+0
12/31/1903  19:00:00.343000	-1.131583E+0	2.778402E+0
12/31/1903  19:00:00.344000	-9.905548E-1	2.831749E+0
12/31/1903  19:00:00.345000	-8.470244E-1	2.877942E+0
12/31/1903  19:00:00.346000	-7.013543E-1	2.916865E+0
12/31/1903  19:00:00.347000	-5.539126E-1	2.948420E+0
12/31/1903  19:00:00.348000	-4.050716E-1	2.972527E+0
12/31/1903  19:00:00.349000	-2.552074E-1	2.989125E+0
12/31/1903  19:00:00.350000	-1.046985E-1	2.998172E+0
12/31/1903  19:00:00.351000	4.607488E-2	2.999646E+0
12/31/1903  19:00:00.352000	1.967319E-1	2.993542E+0
12/31/1903  19:00:00.353000	3.468919E-1	2.979877E+0
12/31/1903  19:00:00.354000	4.961756E-1	2.958684E+0
12/31/1903  19:00:00.355000	6.442060E-1	2.930017E+0
12/31/1903  19:00:00.356000	7.906090E-1	2.893948E+0
12/31/1903  19:00:00.357000	9.350149E-1	2.850570E+0
12/31/1903  19:00:00.358000	1.077059E+0	2.799990E+0
12/31/1903  19:00:00.359000	1.216382E+0	2.742337E+0
12/31/1903  19:00:00.360000	1.352633E+0	2.677757E+0
12/31/1903  19:00:00.361000	1.485466E+0	2.606413E+0
12/31/1903  19:00:00.362000	1.614548E+0	2.528485E+0
12/31/1903  19:00:00.363000	1.739550E+0	2.444170E+0
12/31/1903  19:00:00.364000	1.860159E+0	2.353680E+0
12/31/1903  19:00:00.365000	1.976068E+0	2.257245E+0
12/31/1903  19:00:00.366000	2.086986E+0	2.155108E+0
12/31/1903  19:00:00.367000	2.192632E+0	2.047526E+0
12/31/1903  19:00:00.368000	2.292739E+0	1.934773E+0
12/31/1903  19:00:00.369000	2.387055E+0	1.817132E+0
12/31/1903  19:00:00.370000	2.475340E+0	1.694901E+0
12/31/1903  19:00:00.371000	2.557373E+0	1.568388E+0
12/31/1903  19:00:00.372000	2.632946E+0	1.437914E+0
12/31/1903  19:00:00.373000	2.701867E+0	1.303807E+0
12/31/1903  19:00:00.374000	2.763964E+0	1.166407E+0
12/31/1903  19:00:00.375000	2.819078E+0	1.026060E+0
12/31/1903  19:00:00.376000	2.867071E+0	8.831218E-1
12/31/1903  19:00:00.377000	2.907822E+0	7.379524E-1
12/31/1903  19:00:00.378000	2.941227E+0	5.909188E-1
12/31/1903  19:00:00.379000	2.967202E+0	4.423925E-1
12/31/1903  19:00:00.380000	2.985682E+0	2.927487E-1
12/31/1903  19:00:00.381000	2.996620E+0	1.423654E-1
12/31/1903  19:00:00.382000	2.999988E+0	-8.377570E-3
12/31/1903  19:00:00.383000	2.995778E+0	-1.590994E-1
12/31/1903  19:00:00.384000	2.984001E+0	-3.094192E-1
12/31/1903  19:00:00.385000	2.964685E+0	-4.589575E-1
12/31/1903  19:00:00.386000	2.937881E+0	-6.073364E-1
12/31/1903  19:00:00.387000	2.903655E+0	-7.541811E-1
12/31/1903  19:00:00.388000	2.862094E+0	-8.991207E-1
12/31/1903  19:00:00.389000	2.813303E+0	-1.041789E+0
12/31/1903  19:00:00.390000	2.757406E+0	-1.181826E+0
12/31/1903  19:00:00.391000	2.694543E+0	-1.318877E+0
12/31/1903  19:00:00.392000	2.624874E+0	-1.452597E+0
12/31/1903  19:00:00.393000	2.548574E+0	-1.582647E+0
12/31/1903  19:00:00.394000	2.465836E+0	-1.708699E+0
12/31/1903  19:00:00.395000	2.376869E+0	-1.830435E+0
12/31/1903  19:00:00.396000	2.281898E+0	-1.947548E+0
12/31/1903  19:00:00.397000	2.181163E+0	-2.059740E+0
12/31/1903  19:00:00.398000	2.074917E+0	-2.166730E+0
12/31/1903  19:00:00.399000	1.963431E+0	-2.268246E+0
12/31/1903  19:00:00.400000	1.846984E+0	-2.364032E+0
12/31/1903  19:00:00.401000	1.725872E+0	-2.453847E+0
12/31/1903  19:00:00.402000	1.600401E+0	-2.537463E+0
12/31/1903  19:00:00.403000	1.470886E+0	-2.614669E+0
12/31/1903  19:00:00.404000	1.337656E+0	-2.685270E+0
12/31/1903  19:00:00.405000	1.201047E+0	-2.749088E+0
12/31/1903  19:00:00.406000	1.061404E+0	-2.805962E+0
12/31/1903  19:00:00.407000	9.190798E-1	-2.855747E+0
12/31/1903  19:00:00.408000	7.744339E-1	-2.898319E+0
12/31/1903  19:00:00.409000	6.278317E-1	-2.933569E+0
